url,context,first_referenced,wayback
https://www.zeldix.net/t1739-out-of-this-world-another-world,Out of This World forum thread (zeldix),2026-04-30,
https://tasvideos.org/Forum/Topics/15758,TASvideos topic on Another World/Out of This World,2026-04-30,
https://fabiensanglard.net/another_world_polygons_SNES/,Fabien Sanglard's SNES polygon analysis,2026-04-30,
https://fabiensanglard.net/another_world_polygons_atariST/index.html,Fabien Sanglard's Atari ST polygon analysis,2026-04-30,
https://fabiensanglard.net/another_world_polygons_GBA/,Fabien Sanglard's GBA polygon analysis,2026-04-30,
https://fabiensanglard.net/another_world_polygons_Jaguar/,Fabien Sanglard's Jaguar polygon analysis,2026-04-30,
https://hiddenpalace.org/w/index.php?title=Category:Unreleased_game_prototypes,Hidden Palace prototypes index (used to confirm GBA Foxy port is NOT a Nintendo prototype),2026-04-30,
https://gbadev.org/demos.php?showinfo=1279,GBA fan port (Foxy/Cogordan) v2.1 download page,2026-04-30,
https://wiki.gbatemp.net/wiki/Another_World,GBAtemp wiki page on Another World GBA port,2026-04-30,
https://www.romspedia.com/roms/gameboy-advance/another-world-gba,Another World GBA candidate source (romspedia),2026-04-30,
https://www.romsgames.net/gameboy-advance-rom-another-world/,Another World GBA candidate source (romsgames),2026-04-30,
https://retrostic.com/roms/gba/another-world-gba-82942,Another World GBA candidate source (retrostic),2026-04-30,
https://hexrom.com/another-world-gba/,Another World GBA candidate source (hexrom),2026-04-30,
https://www.gamebrew.org/wiki/Another_World_GBA,Another World GBA wiki entry (gamebrew),2026-04-30,
https://games-s60.blogspot.com/2008/07/another-world.html,Symbian S60 Another World blog entry (2008-07),2026-04-30,
https://www.mobiles24.co/downloads/tag/Another+World/nokia-3600-games,Symbian S60 Another World listing (mobiles24),2026-04-30,
http://www.vatikag.com/downloads/18/symbian-mobile-games/4/symbian-s60v2-games/166/another-world.shtml,Symbian S60v2 Another World listing (vatikag),2026-04-30,
https://archive.org/details/nokia-new-series-2008,Nokia New Series 2008 archive on archive.org (Symbian SIS bundle),2026-04-30,
https://www.atarimania.com/game-atari-jaguar-another-world_30875.html,Atari Jaguar (Removers community port) page,2026-04-30,
https://forums.atariage.com/topic/307506-another-world-purchase-rom/,Atari Jaguar Another World purchase forum,2026-04-30,
https://www.atari-forum.com/viewtopic.php?t=35552,Atari Jaguar Another World forum thread,2026-04-30,
https://forums.atariage.com/topic/335716-another-world/,Atari Jaguar Another World AtariAge thread,2026-04-30,
https://news.ycombinator.com/item?id=22569641,Hacker News thread on the Jaguar polygons writeup,2026-04-30,
http://removers.free.fr/AnotherWorld/,The Removers' AnotherWorld Jaguar port homepage,2026-04-30,
https://www.everygamegoing.com/litem/Another-World/162563/,Atari Jaguar Another World listing (everygamegoing),2026-04-30,
https://www.macintoshrepository.org/,Macintosh Repository home,2026-04-30,
https://archive.org/details/MacintoshSharewareGamesS,Mac shareware S collection,2026-04-30,
https://archive.org/details/ClassicMacImages,Classic Mac disk images collection,2026-04-30,
https://archive.org/details/MacintoshSharewareGamesA,Mac shareware A collection,2026-04-30,
https://archive.org/details/MacintoshSharewareGames0to9,Mac shareware 0-9 collection,2026-04-30,
https://archive.org/details/MacintoshSharewareGamesE,Mac shareware E collection,2026-04-30,
https://archive.org/details/MacintoshSharewareGamesO,Mac shareware O collection,2026-04-30,
https://vintagemacmuseum.com/resources/mac-software/,Vintage Mac Museum software list,2026-04-30,
https://en.wikipedia.org/wiki/Another_World_(video_game),Wikipedia: Another World (general reference),2026-04-30,
https://en.wikipedia.org/wiki/Heart_of_the_Alien,Wikipedia: Heart of the Alien (sequel),2026-04-30,
https://amiga.abime.net/games/view/another-world,Amiga abime.net Another World page,2026-04-30,
https://archive.org/details/atari-st-longplay-another-world-ww,Atari ST longplay video on archive.org,2026-04-30,
https://www.emuparadise.me/Atari_ST_ROMs/Another_World_(1991)(Delphine)(Disk_1_of_2)%5Bprotected%5D/111072,Atari ST disk 1 (protected) on emuparadise,2026-04-30,
https://archive.org/details/sg_Another_World_1992_Delphine_Virgin_EU_en,Another World 1992 Delphine/Virgin EU on archive.org,2026-04-30,
https://ataricrypt.blogspot.com/2018/11/another-world.html,AtariCrypt blog post about Atari ST Another World,2026-04-30,
https://whatisthe2gs.apple2.org.za/out-of-this-world.html,What is the Apple IIgs (Action Games > Out of this World),2026-04-30,
https://andreafortuna.org/2019/08/30/another-world-ported-on-8bit-apple-ii/,Vince Weaver's Apple II demake writeup (Andrea Fortuna),2026-04-30,
https://www.apl2bits.net/2019/02/04/another-world-demake-nintendo-switch/,Apple II Bits article on Apple II demake,2026-04-30,
https://archive.org/details/ootw_20210627,Out of This World (Apple II demake by Vince Weaver),2026-04-30,
https://romsfun.com/roms/3do/out-of-this-world-2.html,3DO ROM source (romsfun),2026-04-30,
https://tcrf.net/Out_of_This_World_(3DO),The Cutting Room Floor: Out of This World 3DO research notes,2026-04-30,
https://www.planetemu.net/rom/panasonic-3do-interactive-multiplayer-games/out-of-this-world-us,3DO ROM source (planetemu),2026-04-30,
https://www.gamebrew.org/wiki/AnotherWorld_DS,AnotherWorld DS homebrew (gamebrew wiki),2026-04-30,
https://www.nintendolife.com/games/ds/another_world,Nintendo Life DS game listing,2026-04-30,
https://nintendo.fandom.com/wiki/Another_World,Nintendo Fandom wiki entry,2026-04-30,
https://romsfun.com/roms/nintendo-ds/the-another-world.html,The Another World DS (homebrew) ROM source,2026-04-30,
https://www.metacritic.com/game/3ds/another-world-20th-anniversary-edition,Metacritic 3DS Anniversary Edition,2026-04-30,
https://www.nintendolife.com/reviews/3ds-eshop/another_world_20th_anniversary_edition,Nintendo Life Anniversary Edition review,2026-04-30,
https://gbatemp.net/threads/anotherworld-ds-v1-0.301577/,Alekmaul's DS port v1.0 thread,2026-04-30,
https://gbatemp.net/download/anotherworld-ds.25675/,Alekmaul's DS port direct download,2026-04-30,
https://store.steampowered.com/app/233550/Another_World__20th_Anniversary_Edition/,Steam page Anniversary Edition,2026-04-30,
https://www.gog.com/en/game/another_world_20th_anniversary_edition,GOG page Anniversary Edition,2026-04-30,
https://www.gogdb.org/product/1207658845,GOG Database entry for Anniversary Edition,2026-04-30,
https://store.steampowered.com/app/233550,Steam app id 233550,2026-04-30,
https://support.gog.com/hc/en-us/articles/213516809-Another-World-20th-Anniversary-Edition,GOG support article,2026-04-30,
https://gg.deals/game/another-world-20th-anniversary-edition/,gg.deals price tracker,2026-04-30,
https://ensigame.com/games/another-world-20th-anniversary-edition,Ensigame Anniversary Edition page,2026-04-30,
https://www.gog.com/forum/another_world_20th_anniversary_edition,GOG forum thread,2026-04-30,
https://www.gog.com/forum/another_world_20th_anniversary_edition/another_world_20th_anniversary_edition_discovered_on_steam,GOG forum: discovered on Steam,2026-04-30,
https://www.retroplace.com/en/games/35758--another-world,Genesis/Mega Drive retroplace,2026-04-30,
https://glitchwave.com/game/another-world/release/sega-mega-drive-genesis-eu/,Glitchwave Mega Drive listing,2026-04-30,
https://sega.fandom.com/wiki/Another_World,Sega Fandom wiki entry,2026-04-30,
https://www.ebay.com/itm/306112231229,eBay PC Valueware Edition listing,2026-04-30,
https://archive.org/details/instrucciones-another-world-esp_202403,Spanish manual scans (archive.org),2026-04-30,
http://www.anotherworldhomepage.com/collection.htm,anotherworldhomepage.com collection page,2026-04-30,
https://archive.org/details/SEGACD_CHD_PLUS,SEGACD CHD PLUS directory listing,2026-04-30,
https://gamicus.fandom.com/wiki/Another_World,Codex Gamicus entry,2026-04-30,
https://datomatic.no-intro.org/index.php?page=search&op=hash&q=Another+World,No-Intro DAT-O-MATIC search (banned client during fetch),2026-04-30,
https://lclevy.free.fr/adflib/adf_info.html,ADF (Amiga Disk File) format reference used for the Rust ADF reader,2026-04-30,
https://archive.org/details/wozaday_Out_of_this_World_IIgs,apple-iigs-1992 fixture: 4am woz-a-day item providing two .woz disks,2026-04-30,
https://archive.org/download/wozaday_Out_of_this_World_IIgs/00playable.woz,apple-iigs-1992 fixture: disk 1 .woz direct download,2026-04-30,
https://archive.org/download/wozaday_Out_of_this_World_IIgs/00playable2.woz,apple-iigs-1992 fixture: disk 2 .woz direct download,2026-04-30,
https://macintoshgarden.org/games/another-world-aka-out-of-world,macintosh-1993 fixture provenance page (MacPlay 1993 .sit),2026-04-30,yes
https://old.mac.gdn/games/out_of_this_world.sit,macintosh-1993 fixture: direct .sit download (Cloudflare-fronted Macintosh Garden mirror),2026-04-30,
https://web.archive.org/web/20250121125040/http://macintoshgarden.org/games/another-world-aka-out-of-world,wayback snapshot of the macintosh-1993 source page,2026-04-30,yes
https://gbatemp.net/download/anotherworld-ds.25675/,nintendo-ds-alekmaul-2011 fixture provenance page,2026-04-30,
https://web.archive.org/web/20230515063109/https://filetrip.net/files/f/25675-anotherworldDSV10.zip,nintendo-ds-alekmaul-2011 fixture: Wayback-only direct download (filetrip.net is dead),2026-04-30,yes
https://gbadev.org/demos.php?showinfo=1279,gba-foxy-2004 fixture provenance page (canonical homebrew listing),2026-04-30,yes
https://raw.githubusercontent.com/OpenEmu/OpenEmu-Update/master/Homebrew/GBA/Another%20World/Another_world.gba,gba-foxy-2004 fixture: direct .gba download (OpenEmu mirror — author's own hosts are dead),2026-04-30,
https://raw.githubusercontent.com/retrobrews/gba-games/master/anotherworld.gba,gba-foxy-2004 alternate mirror (same file size as OpenEmu mirror),2026-04-30,
https://web.archive.org/web/20241223051845/https://www.gbadev.org/demos.php?showinfo=1279,wayback snapshot of the gba-foxy-2004 source page,2026-04-30,yes
http://www.deater.net/weave/vmwprod/ootw/,apple-ii-demake-weaver-2019 author canonical project page,2026-04-30,yes
http://www.deater.net/weave/vmwprod/ootw/ootw-v31.zip,apple-ii-demake-weaver-2019 fixture: full release zip v3.1,2026-04-30,
https://github.com/deater/dos33fsprogs/tree/master/games/ootw/,apple-ii-demake-weaver-2019 source code repository,2026-04-30,
https://archive.org/details/ootw_20210627,apple-ii-demake-weaver-2019 alternate Internet Archive mirror,2026-04-30,
https://web.archive.org/web/20241009031638/http://deater.net/weave/vmwprod/ootw/,wayback snapshot of the apple-ii-demake source page,2026-04-30,yes
https://www.mobiles24.co/downloads/s/197921-307-another_world,symbian-anotherworld-generic fixture provenance page,2026-04-30,yes
https://www.mobiles24.co/downloads/d/NaDEhuG1gG,symbian-anotherworld-generic fixture: direct .sis download,2026-04-30,
https://web.archive.org/web/20250407104455/https://www.mobiles24.co/downloads/s/197921-307-another_world,wayback snapshot of the symbian-anotherworld-generic source page,2026-04-30,yes
https://www.mobiles24.co/downloads/s/110775-307-another_world,sibling Symbian SIS upload (752492 bytes — distinct user upload, not yet fetched),2026-04-30,
https://archive.org/details/nokia-games-ultimate-sis-pack_202206,Telcogames v1.25 SyMPDA-cracked Symbian SIS bundled inside this 231 MB pack — alternate variant lead,2026-04-30,
https://archive.org/details/club-60-part-1-1-300,club60.org collection containing v1.36 Symbian SIS variant — alternate variant lead,2026-04-30,
https://archive.org/details/limowski,limowski.space mirror containing UIQ2 (Symbian P800/P900) port — distinct platform variant lead,2026-04-30,
http://removers.free.fr/AnotherWorld/,atari-jaguar-removers-2014 author project page (port description; no public ROM),2026-04-30,yes
http://mleguludec.free.fr/product/AnotherWorld_Jaguar/,atari-jaguar-removers-2014 commercial pre-order page (sole legitimate source),2026-04-30,
https://web.archive.org/web/20250221073415/http://removers.free.fr/AnotherWorld/,wayback snapshot of the Removers Jaguar project page,2026-04-30,yes
https://archive.org/details/snes100,snes-usa survey: bundled 687 MB snes+100.zip with no separable per-file checksums (rejected as fixture source),2026-04-30,
https://archive.org/details/out-of-this-world-aka-another-world-fast-rom-sramv-1.0-snes,snes-usa survey: a Fast-ROM+SRAM hack of the USA cart — not a clean baseline (rejected as fixture source),2026-04-30,
