stage      cinematic                                cart       dos        amiga      pattern             
CAPSULE    CINEMATIC_694                            live       dead-only  unref      mixed               
CAPSULE    CINEMATIC_695                            live       dead-only  unref      mixed               
CAPSULE    CINEMATIC_696                            live       dead-only  unref      mixed               
CAPSULE    CINEMATIC_697                            live       dead-only  unref      mixed               
CAPSULE    CINEMATIC_703                            dead-only  live       unref      mixed               
CAPSULE    CINEMATIC_704                            dead-only  live       unref      mixed               
CAPSULE    CINEMATIC_705                            dead-only  live       unref      mixed               
CAPSULE    CINEMATIC_707                            live       dead-only  unref      mixed               
CAPSULE    CINEMATIC_708                            live       dead-only  unref      mixed               
CAPSULE    CINEMATIC_709                            live       dead-only  unref      mixed               
CAPSULE    COMMON_VIDEO_136                         dead-only  dead-only  live       amiga-only-live     
CAPSULE    COMMON_VIDEO_138                         dead-only  dead-only  live       amiga-only-live     
CAPSULE    COMMON_VIDEO_161                         dead-only  dead-only  live       amiga-only-live     
CAPSULE    COMMON_VIDEO_162                         dead-only  dead-only  live       amiga-only-live     
PASSCODE   CINEMATIC_000                            live       dead-only  dead-only  cart-only-live      
PASSCODE   CINEMATIC_001                            live       dead-only  dead-only  cart-only-live      
PASSCODE   CINEMATIC_002                            live       dead-only  dead-only  cart-only-live      
PASSCODE   CINEMATIC_003                            live       dead-only  dead-only  cart-only-live      

Total cinematic names referenced: 5434; any-divergence: 908; behavioural (live↔dead) divergences: 108

Behavioural divergence pattern counts:
  mixed                44
  amiga-only-dead      35
  cart-only-dead       9
  dos-only-dead        8
  amiga-only-live      7
  cart-only-live       5
